essay_preview,actual,predicted,abs_error,residual,word_count
Something big is beginning. Cars are starting to be a questionable need. Of course we need them in some situations. But the sales of cars are declining. People are becoming more united as one. The way,0.0,5.97398694508167,5.97398694508167,5.97398694508167,637
"in the article ""driverless cars are coming"" the author presents both positive and negative aspects of driverless cars and that means im against the development of these cars because there are so many ",0.0,5.835173680602198,5.835173680602198,5.835173680602198,567
Are you for or against the development of driverless cars? I am for the development of these cars. It sounds interesting to me. It can help those drivers who is unable to drive because of some kind di,0.0,5.6568067718055035,5.6568067718055035,5.6568067718055035,451
"Nowaday, the world of technology is really big all around the world. People start to use technology for everything in their daily life. From their house, their school or work. Phone, laptop, computer,",4.0,9.620831765614602,5.620831765614602,5.620831765614602,1008
"Dear state senator i am in favor of the

Electoral College .The

Electoral Collage the process,not a place Founding fathers established it in the constitution as a compromise between elections of the ",0.0,5.427417993669234,5.427417993669234,5.427417993669234,462
"Well the bad thing about being over seas. Is that when you or one of your family members go.

There is a 99 percent chance that you or your family memeber will die or get hurt.

Luke also wanted to go",0.0,5.404681197297825,5.404681197297825,5.404681197297825,583
"""Paul"", Luke said ""do you want to join the Seagoing Cowboys program?""

""Uhm I'm not sure luke, why would I join the Seagoing Cowboys program, like give me an idea of what it would be like"" Paul said

",0.0,5.251809514303877,5.251809514303877,5.251809514303877,649
i belive that a electoral college COULD work if you get a proper way of selecting so it stated that there are 538 electors meaning 538 ideas and this is just facts the majority of people who are there,0.0,5.2493534409156535,5.2493534409156535,5.2493534409156535,810
The author supports the idea that studying Venus is a worthy pursuit despite the dangers because the Venus is actually a planet and also the second planet from our sun. He also mention that Venus is s,0.0,5.2328619525304365,5.2328619525304365,5.2328619525304365,490
"Dear Senator of the state of Florida,

I would like to propose you to keep the electoral college in regards to how elections are made for the presidency and vice presidency. I in my opion as well as i",0.0,5.20471442744929,5.20471442744929,5.20471442744929,526
